0: 3723
526: 2723,4349
527: 2732,4354
528: 5109,1492,5351
529: 4359,2742,1495
530: 2106
531: 3778
532: 1500,4364
533: 1504,5892,5023
534: 
535: 2775,4856,4374
536: 1515,3491,5950
537: 1919,3553
538: 4382,5910
539: 4387,4256
540: 4392
541: 1936,3615,3616
542: 3617,3550
543: 
544: 1967,3720
545: 1549,4014
546: 3576,3575
547: 3693,1955
548: 1557,2832,5138,5487
549: 1579,2888,5565,4082
550: 5140
551: 5142,4132
552: 5956
553: 1600,2862
554: 5144,1612
555: 2118
556: 4371,2877,1623,5193
557: 2083
558: 3618,3551
559: 4003,3998
560: 4117,3416,2890
561: 4448
562: 5151,1653,3432
563: 2906,5155,3440
564: 4277,1661
565: 2927,4459
566: 
567: 4467
568: 2016,3860
569: 2114,3820
570: 2972,5801,5165
571: 1693,2987,5168
572: 4488,4545
573: 2244,5710,5173
574: 3792
575: 3911,3909
576: 4498,3009
577: 2467,5182
578: 5185
579: 3044,1762
580: 3048,1770,4508
581: 58
582: 4512
583: 3765
584: 3848,2012
585: 2842,5194
586: 4738,3077,5778,5762
587: 5200,3088,4557,4778,1824
588: 
589: 
590: 3973
591: 3833
592: 3893,3642
593: 2839,3100
594: 2007,3834
595: 1191,5765,3106,4843
596: 5215,3110
597: 3556
598: 3862
599: 3557
600: 3126,1196,5333,5574
601: 4544
602: 5225
603: 3150,2957
604: 3153,5230
605: 5232,5224
606: 5234
607: 5773,3228,5890
608: 
609: 3273,4984
610: 4991,3358
611: 5780,5898
612: 3807,3803
613: 2122,4209,3172
614: 
615: 4566,3176
616: 3974
617: 5255,4250
618: 3753
619: 3741
620: 4004
621: 4266,5776,1302,3181
622: 2431,1313,5026
623: 3912
624: 5114,3189,4580
625: 3929,3920
626: 3191,5268,1337
627: 3596
628: 5881,5272
629: 5275,1348
630: 2091
631: 
632: 3975
633: 3808,3804
634: 4596,1368
635: 4601,3221,1375,5592
636: 382
637: 
638: 4314,5291,1387
639: 4614,4424
640: 3564,1393,2135
641: 1399,2139
642: 3520
643: 2030,1877,1019,3583
644: 5640,5915,4629
645: 1418,5300,2156
646: 4418,1427
647: 1430,4640
648: 3597,1929
649: 4644,2179
650: 3579,3684
651: 2199,1437
652: 139
653: 3763,3754
654: 2210,4683,3341
655: 5800,4689,3348,2214,4552
656: 
657: 4666,2218
658: 4671
659: 4608,5698,3370
660: 2238,5320
661: 5322,4664,1469,2246
662: 5326,2255,4687
663: 2262,3437,5329
664: 2267,5904
665: 5150,4730,3111
666: 3262,4018,5391,2287
667: 5331,5183
668: 1618,3334,2298
669: 4711
670: 3722
671: 1633,3392,2310
672: 2318,5418,1634
673: 5336,5580
674: 5808,2332
675: 1728,2338
676: 3900,3901
677: 5354
678: 3864
679: 2403,5359,2365
680: 3521,3648
681: 2464,5024
682: 5073,2627,4528
683: 4554,5078,2690,1781
684: 3598,1907
685: 2424,4739
686: 2767,5397,4741
687: 3574,1926,3580
688: 4746
689: 5478,2452
690: 2108
691: 5384
692: 
693: 3621
694: 2469,4770
695: 
696: 4782,2480,3162
697: 3671,3581,1885
698: 2489,4788
699: 
700: 2117
701: 3914
702: 4799,2508,3237
703: 3760
704: 2514,4806
705: 1433,3850
706: 4855,3915
707: 2525,4814,5532
708: 2528,4340,1204,4818
709: 2985,4821,5807,2535
710: 3599
711: 4827,2552
712: 2558,3016
